Domain Category,mean_value,sd_value,n
"CHEMICAL, OTHER: (ACIBENZOLAR-S-METHYL = 61402)",NA,NA,40
"CHEMICAL, OTHER: (ALKYL. DIM. BENZ. AM = 69105)",NA,NA,5
"CHEMICAL, OTHER: (AUREOBASIDIUM PULLULANS DSM 14940 = 46010)",NA,NA,15
"CHEMICAL, OTHER: (AUREOBASIDIUM PULLULANS DSM 14941 = 36010)",NA,NA,15
"CHEMICAL, OTHER: (BT KURSTAKI SA-12 = 6518)",NA,NA,10
"CHEMICAL, OTHER: (CAPRIC ACID = 128955)",NA,NA,20
"CHEMICAL, OTHER: (CAPRYLIC ACID = 128919)",NA,NA,20
"CHEMICAL, OTHER: (CAPSAICIN = 70701)",NA,NA,5
"CHEMICAL, OTHER: (CAPSICUM OLEORESIN EXTRACT = 70704)",NA,NA,10
"CHEMICAL, OTHER: (CHLOROPICRIN = 81501)",496782.15430833306,1630918.1375985707,135
"CHEMICAL, OTHER: (CUPRAMMONIUM ACETATE = 36011)",NA,NA,5
"CHEMICAL, OTHER: (CYTOKININS = 116801)",NA,NA,25
"CHEMICAL, OTHER: (DECYLDIMETHYLOCTYL = 69165)",NA,NA,5
"CHEMICAL, OTHER: (DICHLOROPROPENE = 29001)",187497.70055555558,431595.5443410366,70
"CHEMICAL, OTHER: (DIDECYL DIM. AMMON. = 69166)",NA,NA,5
"CHEMICAL, OTHER: (DIMETHYL DISULFIDE (DMDS) = 29088)",NA,NA,5
"CHEMICAL, OTHER: (DIMETHYLDIOCTYL = 69149)",NA,NA,5
"CHEMICAL, OTHER: (DIPHACINONE = 67701)",NA,NA,5
"CHEMICAL, OTHER: (DODECADIEN-1-OL = 129028)",NA,NA,5
"CHEMICAL, OTHER: (ETHEPHON = 99801)",NA,NA,5
"CHEMICAL, OTHER: (FLUENSULFONE = 50410)",NA,NA,5
"CHEMICAL, OTHER: (FLUMETRALIN = 123001)",NA,NA,5
"CHEMICAL, OTHER: (FLUTRIAFOL = 128940)",413.66348,985.4398527441997,35
"CHEMICAL, OTHER: (GARLIC OIL = 128827)",NA,NA,10
"CHEMICAL, OTHER: (GIBBERELLIC ACID = 43801)",NA,NA,5
"CHEMICAL, OTHER: (GLIOCLADIUM VIRENS = 129000)",NA,NA,15
"CHEMICAL, OTHER: (HARPIN A B PROTEIN = 6506)",NA,NA,5
"CHEMICAL, OTHER: (HARPIN PROTEIN = 6477)",10.503538461538461,27.250978675438994,23
"CHEMICAL, OTHER: (HYDROGEN PEROXIDE = 595)",1122.8153,2962.5998711849193,55
"CHEMICAL, OTHER: (INDOLEBUTYRIC ACID = 46701)",NA,NA,10
"CHEMICAL, OTHER: (IRON PHOSPHATE = 34903)",20.7792,44.29293223190354,50
"CHEMICAL, OTHER: (ISARIA FUMOSOROSEA STRAIN FE 9901 = 115003)",NA,NA,5
"CHEMICAL, OTHER: (MALEIC HYDRAZIDE, POTASSIUM SALT = 51503)",NA,NA,5
"CHEMICAL, OTHER: (METALDEHYDE = 53001)",285.91276,763.2783844350218,100
"CHEMICAL, OTHER: (METAM-POTASSIUM = 39002)",129539.5849,329838.91063787095,50
"CHEMICAL, OTHER: (METAM-SODIUM = 39003)",54659.637,115826.81390526214,35
"CHEMICAL, OTHER: (METHYL BROMIDE = 53201)",333322.0013416666,957911.9029855003,125
"CHEMICAL, OTHER: (METHYL ISOTHIOCYA. = 68103)",436.68,930.0255329828316,5
"CHEMICAL, OTHER: (MINERAL OIL = 63502)",NA,NA,20
"CHEMICAL, OTHER: (NRRL B-21856 = 6511)",NA,NA,5
"CHEMICAL, OTHER: (PAECILOMYCES FUMOSOR = 115002)",NA,NA,25
"CHEMICAL, OTHER: (PEROXYACETIC ACID = 63201)",401.68979999999993,893.4842866168381,25
"CHEMICAL, OTHER: (POTASSIUM SILICATE = 72606)",NA,NA,15
"CHEMICAL, OTHER: (PSEUDOMONAS CHLORORAPHIS STRAIN AFS009 = 6800)",NA,NA,20
"CHEMICAL, OTHER: (REYNOUTRIA SACHALINE = 55809)",523.7271481481481,1335.0009876012107,70
"CHEMICAL, OTHER: (TETRADECEN-1-YL (E) = 129019)",NA,NA,5
"CHEMICAL, OTHER: (TOTAL)",1277524.1954022988,2950813.5370995733,107
"CHEMICAL, OTHER: (TRANS-9, CIS-11-TETRADECADIENYL ACETATE = 120000)",NA,NA,5
"CHEMICAL, OTHER: (TRICHODERMA VIRENS STRAIN G-41 = 176604)",NA,NA,5
